id	var0	var1	var2	var3	var4	var5	res
1	0.23914	0.15415	0.13837	0.11242	0.0042774	0.32364	0
2	0.28102	0.056282	0.063657	0.033787	0.85194	0.56361	0
3	0.78309	0.094177	0.56711	0.57401	0.94745	0.82536	0
4	0.37065	0.81057	0.47821	0.7054	0.72245	0.046582	0
5	0.99448	0.48516	0.14758	0.7857	0.99778	0.45279	0
6	0.62633	0.23692	0.60693	0.7647	0.34933	0.61121	0
7	0.088338	0.63036	0.66749	0.152	0.66414	0.51943	0
8	0.71561	0.44724	0.61361	0.28272	0.021248	0.56106	0
9	0.10808	0.39189	0.37164	0.5863	0.09729	0.094091	0
10	0.63288	0.091771	0.57925	0.78046	0.87747	0.57703	0
11	0.23325	0.5038	0.81395	0.84018	0.2685	0.16328	0
12	0.45139	0.35684	0.79364	0.11889	0.50883	0.45778	0
13	0.63832	0.22444	0.90502	0.25193	0.50716	0.92627	0
14	0.81299	0.61525	0.31816	0.18463	0.20154	0.41545	0
15	0.27872	0.83442	0.50722	0.85797	0.61488	0.38469	0
16	0.43501	0.84813	0.88849	0.24896	0.68831	0.15699	0
17	0.41224	0.1397	0.51383	0.20587	0.25858	0.022658	0
18	0.66365	0.8969	0.2471	0.56867	0.14883	0.75426	0
19	0.49494	0.96182	0.36951	0.81309	0.14645	0.57105	0
20	0.22854	0.42517	0.40547	0.73577	0.28314	0.020351	0
21	0.12046	0.71815	0.86848	0.0089492	0.9671	0.55678	0
22	0.16594	0.37934	0.69648	0.67976	0.58521	0.95506	0
23	0.70242	0.24886	0.85196	0.94952	0.81753	0.00079159	0
24	0.70378	0.31247	0.96261	0.073292	0.12556	0.10906	0
25	0.64434	0.35411	0.53422	0.049813	0.089873	0.81736	0
26	0.070163	0.21033	0.53551	0.93864	0.21928	0.50261	0
27	0.49542	0.38522	0.88195	0.1919	0.064984	0.46716	0
28	0.14697	0.76741	0.71602	0.99893	0.71693	0.53355	0
29	0.99972	0.42071	0.84602	0.96233	0.494	0.97158	0
30	0.071391	0.13835	0.32569	0.60561	0.18816	0.41556	0
31	0.42298	0.25832	0.6259	0.95848	0.19696	0.84518	0
32	0.46109	0.69239	0.23039	0.34304	0.88429	0.29538	0
33	0.8102	0.03126	0.062785	0.52622	0.030193	0.77971	0
34	0.05977	0.029918	0.20043	0.90579	0.99225	0.69443	0
35	0.87737	0.063644	0.83278	0.20306	0.66926	0.020934	0
