i = 7, A = 708.7596282, var1 * var0
i = 3, A = 404.3629347, var2
i = 2, A = 208.7947442, var1
i = 1, A = -104.5436514, var0
i = 5, A = 59.87464644, var4
i = 19, A = -35.33199425, var5 * var2
i = 18, A = -33.05034299, var5 * var1
i = 17, A = -21.95285617, var5 * var0
i = 15, A = 20.94359083, var4 * var2
i = 16, A = 19.01781463, var4 * var3
i = 4, A = 16.18984869, var3
i = 14, A = 15.13875389, var4 * var1
i = 13, A = 14.68301337, var4 * var0
i = 12, A = 13.96948739, var3 * var2
i = 11, A = 12.19152754, var3 * var1
i = 10, A = 11.04939901, var3 * var0
i = 8, A = 10.73693402, var2 * var0
i = 9, A = 9.999712629, var2 * var1
i = 20, A = -9.639320241, var5 * var3
i = 6, A = -3.784442764, var5
i = 21, A = -0.6154817075, var5 * var4
